B_Cell_1,T_B_Cells,T_Cell_1,Macrophage_1,T_Cell_2,Macrophage_2,Endothelial,Vimentin-hi,Small_Circular,Small_Elongated,Fibronectin-hi,Large_Elongated,SMA_hi_Vimentin,Hypoxic,Apoptotic,Proliferative,p53+_EGFR+,Basal_CK,CK7+_CKhi_Cadherin,CK7+_CK+,Epithelial-low,CK-low_HR-low,CK+_HR-hi,CK+_HR+,CK_HRlow_p53+,Cklow_HR-hi,Myoepithelial
0,1.811370988,2.589522238,2.551733677,1.510340992,0,2.624284344,3.488064597,2.941704756,3.996062418,3.906540339,1.510340992,1.510340992,2.740789913,2.941704756,3.302732681,1.811370988,1.510340992,0,3.567245843,3.090124588,3.54776749,4.636472399,3.523178217,3.574798981,2.464583501,1.510340992
0,2.34107643,3.917033619,3.642106426,0,0,2.34107643,4.085369413,3.460552271,4.300912506,2.040046434,0,0,0,2.517167689,3.094404097,0,2.793374101,0,2.960865188,2.739016439,3.545196413,3.994288944,3.497423631,3.612143202,1.56292518,2.818197685
0,2.09982138,2.912734736,3.679604976,0,0,2.643889424,4.287342101,3.054063889,3.794426579,2.840184069,1.798791384,0,0,2.798791384,2.400851375,1.798791384,3.757832776,3.848009407,2.09982138,0,2.701881371,2.275912639,2.840184069,2.87797263,0,2.701881371
1.544184016,1.544184016,2.799456522,3.177652472,1.544184016,0,3.383033107,3.100486517,3.734515715,4.119371861,4.319430276,0,0,1.845214012,0,2.021305271,0,0,4.391756676,0,2.447274003,2.021305271,1.845214012,1.845214012,2.146244008,0,0
2.763697919,2.830644709,4.389524632,2.830644709,0,0,3.963270274,2.860607932,3.693116845,4.197734273,2.684516673,0,3.286576664,1.684516673,2.462667923,2.161637928,1.684516673,2.888636656,1.684516673,2.684516673,2.638759182,3.912403378,0,1.684516673,3.203030613,0,0
2.570344599,3.34849585,3.374824789,3.158616306,1.667254612,0,2.946008213,3.611737285,3.211322657,4.073794793,2.989473907,0,2.871374595,1.968284608,0,2.708647298,0,0,1.968284608,2.512352652,2.570344599,2.570344599,1.968284608,2.512352652,4.605774338,0,0
0,1.75236424,3.689380348,2.451334245,1.451334245,0,2.773553539,2.296432285,3.838724071,4.489158995,1.75236424,0,2.150304249,1.451334245,2.849274253,2.530515491,0,0,1.451334245,2.75236424,3.472523544,3.320565964,1.75236424,2.229485495,4.545106026,1.451334245,0
0,2.494291679,3.816510974,4.054596922,2.193261683,0,3.09635167,4.382658409,3.284342153,4.293632228,3.207502122,1.716140429,2.795321675,0,0,2.31820042,0,0,0,2.31820042,0,0,2.31820042,2.31820042,2.619230416,0,0
0,1.513335788,0,2.416425775,2.212305792,0,2.743784709,3.081537512,2.689427047,3.659463823,2.115395779,0,0,4.557875548,2.62727914,3.787493637,2.592517034,1.513335788,0,3.298665623,3.33941059,4.20441728,2.513335788,3.018485766,3.495607021,2.467578297,0
1.567146109,2.567146109,3.220358623,3.220358623,2.044267364,0,3.442207372,3.950961475,3.058507803,4.127052734,2.771266092,0,0,0,2.1692061,3.239243967,0,0,2.044267364,2.947357351,2.982119457,4.509154162,3.436377829,2.998509873,3.029544107,0,0
