new_id,old_id,EGFR,CDH1,ESR1,GATA3,H3F3B,MKI67,ACTA2,VIM,CASP3,ERBB2,TP53,KRT19,PGR,MYC,FN1,KRT14,SNAI2,MS4A1,VWF,KRT5,CD44,PTPRC,CD68,CD3E,CA9,KRT8,KRT7,TWIST1,RPS6,MTOR
0,not_cohort,2.1594,-2.640046296,-0.1919,-1.7212,1.6583,0.0913,2.2626,4.110854844,-2.2124,-1.1096,0.3767,-0.8071,-0.529,2.2744,-1.1791,0.6653,0.7688,-1.49525,1.6819,2.7661,-0.4628,-1.1045,-0.5528,-0.6462,-0.4647,-1.1022,7.367664,2.7072,0.8211,-0.5329
1,not_cohort,-0.3625,-2.958333333,0.2858,1.0579,-1.6947,1.2396,1.122,1.553768848,0.5933,-0.7718,0.0142,0.2727,1.276,0.7424,0.732,0.2319,0.543,6.812,-2.4454,-0.8768,0.8084,-0.8554,-0.9075,-1.1577,-0.5216,0.7027,-3.451408,-0.2027,1.3894,-0.3014
2,not_cohort,-0.0563,-3.128935185,0.2834,-0.0576,-1.4829,1.0601,2.5822,1.88376804,-0.9294,-0.7749,0.5374,-0.0544,1.1615,-0.6841,0.3822,0.0593,2.0276,-0.2245,-1.1421,-0.6578,0.2082,-0.1559,1.4459,-0.5919,0.1933,0.0353,-1.826208,0.245,1.3682,-1.7836
3,not_cohort,-0.8053,-2.683796296,0.4285,-0.4562,0.4705,1.15,2.0084,1.793792972,0.5376,-0.2783,1.6338,0.6593,0.6439,-0.4756,-0.0474,1.1419,0.675,-3.94625,-2.7419,-0.7449,-1.2466,-0.1781,0.2016,-0.1754,-0.288,2.3082,-2.395232,0.2396,1.5992,-1.9756
4,not_cohort,-0.5344,-1.65625,0.7585,0.2042,-0.8771,0.8706,-1.9076,0.060073988,-0.5069,-0.5838,0.3748,0.5122,1.1214,0.5558,0.8766,-2.1505,-0.503,2.03725,0.2013,-0.9876,-1.4931,0.5754,0.9198,-0.8606,-0.4272,1.6195,-2.078624,0.465,-1.4116,-0.6023
5,not_cohort,-0.3876,1.24212963,0.7451,0.2442,-0.3065,1.0702,0.8008,2.582909656,0.7638,-0.763,-2.0331,-4.4235,-0.2288,-0.804,0.7251,0.9335,0.7405,-4.15425,-0.86,-0.9011,0.4361,0.2843,0.2392,-0.7164,0.4011,0.4298,-3.283856,0.3176,0.4758,-1.9166
6,not_cohort,-0.5799,-2.75787037,0.5788,-0.6592,0.2122,-0.1313,-1.5884,0.93644746,0.6297,-1.1597,-0.4932,-0.2381,1.4631,-1.348,-0.4745,-1.8095,0.3468,-1.724,-1.3855,-0.4861,0.2416,-0.412,-0.3578,-0.6835,-0.5581,-1.4029,-1.520752,-0.3833,1.9179,-1.7512
7,not_cohort,-0.4281,-3.064583333,0.4426,-1.0047,0.9681,-1.0763,-0.0194,2.071601188,0.2096,-1.7596,-0.0538,-0.7874,-0.6281,-1.3789,-0.7356,-0.9417,0.7592,5.199,-0.6869,-0.5885,-0.5801,1.0632,0.3596,1.6649,-0.6389,-0.886,0.566848,-0.1544,1.9765,-2.9093
8,not_cohort,-0.9259,-1.7,1.1911,0.5186,-0.0948,-0.7851,-1.885,-2.873493788,1.2287,-0.01,0.0838,0.866,-0.9371,1.7642,-0.5649,0.0188,-1.157,0.59675,-1.8786,-1.0017,-1.2238,-1.2455,-0.815,-0.4174,-0.6928,0.0235,-4.007104,-0.7973,-0.1383,0.9712
9,not_cohort,-0.9788,-0.992592593,-0.869,0.4916,-1.6686,-1.4889,-2.9336,-4.902961636,0.5541,0.6118,0.5543,-4.184,-0.6336,-3.3003,-1.1624,1.6108,-0.9877,2.33275,-2.7149,-0.9668,1.3913,-0.7722,-1.1849,-0.4992,-0.7352,-0.4259,-3.326288,-1.0346,1.1831,0.617
10,not_cohort,-0.5941,-2.09537037,0.6292,0.8427,1.3588,0.3082,0.726,-1.459172704,0.0212,-0.5204,-0.6204,-1.19,0.8205,1.0369,-0.6895,-1.4261,-0.3223,-2.119,-0.5419,-0.098,1.6529,-0.4548,-0.7161,-0.5438,-0.484,-0.8781,2.531232,0.0935,-1.3201,-0.1063
11,not_cohort,-1.3433,-3.793055556,0.9288,0.0845,0.0734,0.0748,-10.3612,-10.03018137,0.4301,-1.0034,-2.0736,-1.7366,0.4822,-1.6143,-0.7407,-3.0841,-2.134,-0.94075,-3.0312,-0.9163,-1.4457,-0.9463,-1.1783,-1.8192,-0.686,-2.3781,-3.449504,-1.242,1.4744,-1.9597
12,not_cohort,0.6131,-0.892824074,-1.5293,-1.3849,1.3195,0.1072,-0.3308,1.629065204,-0.1795,-0.8654,0.3506,-0.3179,-0.3653,1.6184,-0.4234,0.2079,1.1478,3.38,0.5713,0.9209,1.0203,3.5719,0.2505,2.6492,-0.571,-1.4399,2.112352,1.1218,0.4326,-1.1027
13,not_cohort,1.1555,-2.794444444,0.055,0.0083,1.7582,0.6709,2.525,1.076167052,-1.0799,-0.2274,1.5752,-0.0415,0.4986,1.3944,-0.9305,0.3092,1.274,3.904,-0.0631,1.5787,-0.5025,0.1802,-0.6761,-0.2309,-0.522,-0.818,5.748176,-0.2439,0.6338,0.0421
14,not_cohort,-0.8611,-2.680092593,1.1509,-0.2975,1.1306,-0.0815,-3.6346,-2.384203388,0.3244,-1.2183,-0.7095,-0.5368,-0.709,-1.2,-0.7331,-2.4893,-0.3969,3.9435,-2.2872,-1.1244,0.4363,0.3608,-0.1976,-0.2075,-0.5259,-0.7505,-2.912032,-0.9683,2.2647,-4.0209
15,not_cohort,-1.1565,-2.398611111,0.3452,-1.3056,0.4572,-0.0251,-0.3898,0.594759664,0.3622,-1.0076,-2.2272,0.066,0.5996,0.2714,-0.8508,-1.419,0.4375,1.05775,-2.0679,-0.6156,0.2759,-0.057,0.0615,-0.2408,-0.739,-0.2952,0.846192,0.0351,2.1041,-2.2829
16,not_cohort,-0.6458,-3.103703704,0.8608,-0.344,1.2446,-0.4997,-2.1734,-1.806568888,2.2643,-1.7022,-0.8768,-0.1125,0.1709,-0.3126,-1.0648,-0.9496,0.4203,-1.027,-2.2168,-0.8005,0.886,-0.5951,-0.2521,-1.1276,0.0786,-0.916,-0.199648,-0.4748,2.3332,-2.5659
17,not_cohort,-0.5885,1.141666667,-0.6059,-0.6413,-3.3328,0.4746,-7.9842,0.749429796,-1.7822,-1.2003,-2.4759,0.7546,2.3567,1.7567,-0.0479,0.0202,-2.1348,-0.074,-2.6014,-0.8387,-0.2419,1.4206,2.0204,0.3125,4.32,-0.5295,-3.311872,0.7747,1.1359,-0.2652
18,not_cohort,-1.1412,-0.749537037,0.7629,-0.5491,1.1899,-1.1996,-0.4456,-2.520661044,-0.0815,-1.992,0.6081,-1.8608,1.831,-0.1348,-0.6822,-1.5501,-0.6294,0.01875,-2.4182,-0.8442,1.2468,-1.1614,0.0055,-0.9031,0.1636,-0.4474,-2.738496,-1.1366,1.8481,-2.0218
