index,clinical,EGFR,CDH1,ESR1,GATA3,H3F3B,MKI67,ACTA2,VIM,CASP3,ERBB2,TP53,KRT19,PGR,MYC,FN1,KRT14,SNAI2,MS4A1,VWF,KRT5,CD44,PTPRC,CD68,CD3E,CA9,KRT8,KRT7,RPS6
TCGA-3C-AAAU,not_cohort,-0.7801,0.8096,0.0267,0.5518,-0.5043,0.5304,-0.5069,-1.3595,-0.3402,-0.1195,-0.0791,-0.2326,0.638,0.4122,-0.4197,-2.4463,-1.213,0.4275,-0.6817,-2.1048,0.8293,-1.0576,-1.1574,-1.024,-1.124,-1.0379,-2.2519,-1.0902
TCGA-5L-AAT0,cohort,-0.058233333,-0.2593,0.3187,0.6505,-0.3044,-1.2819,1.0006,0.5974,-0.5076,0.1516,0.0233,0.7177,0.1594,0.0216,0.4742,0.7823,0.4414,0.36155,-0.066,0.1471,-0.5619,0.2291,0.5469,0.8817,-0.5739,0.5324,0.6177,0.8768
TCGA-5T-A9QA,not_cohort,-1.6887,0.8324,0.0395,0.509,-0.4664,-0.5745,-2.1198,-2.1481,-1.0825,0.3863,0.8449,1.1099,-0.6475,0.0409,-2.3679,-1.927,-2.9273,-1.407,-2.1547,-0.9282,-0.3284,-1.8393,-0.4957,-1.4495,-0.3468,0.5448,-2.0821,0.0054
TCGA-A1-A0SB,cohort,0.371866667,1.0487,-0.6025,-1.6632,0.2209,-0.0124,2.2007,1.7054,-1.5818,-0.1757,1.8673,-2.178,-1.6446,1.8563,-1.9027,1.2731,2.4493,-0.6404,-0.7432,0.9983,0.1266,-1.4449,-2.8603,-1.9266,-0.836,-0.7622,1.6788,1.8811
TCGA-A1-A0SD,not_cohort,0.5786,0.5361,0.4948,0.4825,0.0295,-0.0883,1.0005,0.215,0.3009,0.4633,-0.2075,0.1984,0.1489,0.4055,0.6261,0.9276,0.5151,-0.0136,0.9652,-0.4203,-0.2732,0.0304,-0.4623,-0.0105,-0.7144,0.8143,0.948,-0.284
TCGA-A1-A0SE,not_cohort,0.9114,0.3372,0.137,0.4705,-0.4584,0.224,0.7769,-0.0853,-0.2577,0.1412,-0.0291,0.2988,1.125,0.373,0.3521,0.8476,0.836,-0.4814,0.3365,0.471,0.4596,-0.3756,-1.5346,0.1684,-0.0394,-0.1446,0.9286,0.9164
TCGA-A1-A0SF,cohort,0.0492,0.7203,0.4003,0.4397,-0.4207,-0.2076,0.7609,-0.0211,-0.5234,-0.0085,0.297,0.2825,1.119,0.1532,-0.9828,1.0642,0.5972,0.11175,1.1819,0.2569,-0.5411,0.4807,-0.7639,1.1364,-1.074,0.2876,0.9506,0.5704
TCGA-A1-A0SG,not_cohort,-0.0751,0.4329,0.7341,0.4773,-0.2981,-0.72,-0.0785,0.0314,-0.7558,0.2723,0.1818,1.2067,1.4382,-1.4723,0.6063,0.2693,-0.4946,1.5183,0.3596,1.4509,0.8358,0.2488,-0.2131,-0.0561,-1.1188,2.1801,0.1839,-0.6097
TCGA-A1-A0SH,not_cohort,0.7447,0.2728,-0.4197,0.1089,-0.507,-0.5655,0.9934,1.1639,-0.4589,0.7789,-0.2807,0.8815,0.9396,-0.9813,2.1379,0.8085,1.7428,-0.8879,-0.0181,0.7598,0.6158,-0.0444,0.1976,-0.7496,0.1991,0.8829,0.5962,-0.4601
TCGA-A1-A0SI,not_cohort,0.3522,0.3154,0.1087,-0.1108,-0.4823,0.8514,0.5435,0.4858,-0.8444,-0.5664,0.2755,-0.5588,-0.1823,-1.5169,1.9713,0.1387,0.8264,0.1636,-0.2829,0.9588,0.3012,0.6972,0.4591,0.6721,1.1413,-0.132,-0.0785,-1.2174
