Hypoxic___Apoptotic,Hypoxic___Proliferative,Hypoxic___p53+_EGFR+,Hypoxic___Basal_CK,Hypoxic___CK7+_CKhi_Cadherin,Hypoxic___CK7+_CK+,Hypoxic___Epithelial-low,Hypoxic___CK-low_HR-low,Hypoxic___CK+_HR-hi,Hypoxic___CK+_HR+,Hypoxic___CK_HRlow_p53+,Hypoxic___CKlow_HR-hi,Hypoxic___Myoepithelial,Apoptotic___Proliferative,Apoptotic___p53+_EGFR+,Apoptotic___Basal_CK,Apoptotic___CK7+_CKhi_Cadherin,Apoptotic___CK7+_CK+,Apoptotic___Epithelial-low,Apoptotic___CK-low_HR-low,Apoptotic___CK+_HR-hi,Apoptotic___CK+_HR+,Apoptotic___CK_HRlow_p53+,Apoptotic___CKlow_HR-hi,Apoptotic___Myoepithelial,Proliferative___p53+_EGFR+,Proliferative___Basal_CK,Proliferative___CK7+_CKhi_Cadherin,Proliferative___CK7+_CK+,Proliferative___Epithelial-low,Proliferative___CK-low_HR-low,Proliferative___CK+_HR-hi,Proliferative___CK+_HR+,Proliferative___CK_HRlow_p53+,Proliferative___CKlow_HR-hi,Proliferative___Myoepithelial,p53+_EGFR+___Basal_CK,p53+_EGFR+___CK7+_CKhi_Cadherin,p53+_EGFR+___CK7+_CK+,p53+_EGFR+___Epithelial-low,p53+_EGFR+___CK-low_HR-low,p53+_EGFR+___CK+_HR-hi,p53+_EGFR+___CK+_HR+,p53+_EGFR+___CK_HRlow_p53+,p53+_EGFR+___CKlow_HR-hi,p53+_EGFR+___Myoepithelial,Basal_CK___CK7+_CKhi_Cadherin,Basal_CK___CK7+_CK+,Basal_CK___Epithelial-low,Basal_CK___CK-low_HR-low,Basal_CK___CK+_HR-hi,Basal_CK___CK+_HR+,Basal_CK___CK_HRlow_p53+,Basal_CK___CKlow_HR-hi,Basal_CK___Myoepithelial,CK7+_CKhi_Cadherin___CK7+_CK+,CK7+_CKhi_Cadherin___Epithelial-low,CK7+_CKhi_Cadherin___CK-low_HR-low,CK7+_CKhi_Cadherin___CK+_HR-hi,CK7+_CKhi_Cadherin___CK+_HR+,CK7+_CKhi_Cadherin___CK_HRlow_p53+,CK7+_CKhi_Cadherin___CKlow_HR-hi,CK7+_CKhi_Cadherin___Myoepithelial,CK7+_CK+___Epithelial-low,CK7+_CK+___CK-low_HR-low,CK7+_CK+___CK+_HR-hi,CK7+_CK+___CK+_HR+,CK7+_CK+___CK_HRlow_p53+,CK7+_CK+___CKlow_HR-hi,CK7+_CK+___Myoepithelial,Epithelial-low___CK-low_HR-low,Epithelial-low___CK+_HR-hi,Epithelial-low___CK+_HR+,Epithelial-low___CK_HRlow_p53+,Epithelial-low___CKlow_HR-hi,Epithelial-low___Myoepithelial,CK-low_HR-low___CK+_HR-hi,CK-low_HR-low___CK+_HR+,CK-low_HR-low___CK_HRlow_p53+,CK-low_HR-low___CKlow_HR-hi,CK-low_HR-low___Myoepithelial,CK+_HR-hi___CK+_HR+,CK+_HR-hi___CK_HRlow_p53+,CK+_HR-hi___CKlow_HR-hi,CK+_HR-hi___Myoepithelial,CK+_HR+___CK_HRlow_p53+,CK+_HR+___CKlow_HR-hi,CK+_HR+___Myoepithelial,CK_HRlow_p53+___CKlow_HR-hi,CK_HRlow_p53+___Myoepithelial,CKlow_HR-hi___Myoepithelial,Hypoxic___Hypoxic,Apoptotic___Apoptotic,Proliferative___Proliferative,p53+_EGFR+___p53+_EGFR+,Basal_CK___Basal_CK,CK7+_CKhi_Cadherin___CK7+_CKhi_Cadherin,CK7+_CK+___CK7+_CK+,Epithelial-low___Epithelial-low,CK-low_HR-low___CK-low_HR-low,CK+_HR-hi___CK+_HR-hi,CK+_HR+___CK+_HR+,CK_HRlow_p53+___CK_HRlow_p53+,CKlow_HR-hi___CKlow_HR-hi,Myoepithelial___Myoepithelial
0.003603251355603,0.004234798829685,0.002889234219512,0,0,0.000928067895329,0.000932583388017,0.008415546951073,0.100445026999821,0.00809486927003,0.002556550140329,0.003098390372724,0,0.007804225218834,0.000744520782106,0,0,0.006992640814013,0.002087179988789,0.01345023219653,0.160900134303611,0.012482826755094,0.013214225939017,0.000929165647125,0.00023990539837,0.00032102602439,0,0,0.024518453359209,0.010475610660343,0.068008141192437,0.439542743571248,0.045599734135064,0.038381390877316,0.008374161542393,5.99763495925758E-05,0,0,0.000846989515432,0.000423494757716,0.001065546806497,0.017445004012835,0.002336031079645,0.001270484273148,0.00032102602439,0,0,0,0,0.000511487467438,0.00784280783405,0.000511487467438,0.000170495822479,0.000170495822479,0,0,0,0,0,0,0,0,0,0.125355199545116,0.05512661993062,0.592070236000701,0.04167361484236,0.170125378731749,0.00016223132552,5.99763495925758E-05,0.033551853010402,0.186803561826277,0.010623388339221,0.055019446219205,0,5.99763495925758E-05,0.732146473698258,0.062304478464669,0.078635336959679,0.008299677199816,0.000299881747963,0.643073795058021,0.708558192087011,0.076055887075144,0.004618178918628,0.057795380501532,0.00969674166997,5.99763495925758E-05,0.007870797760914,0.000179929048778,0,0.023828453741543,0.002192446434436,0.052904451737351,0,0,0,0.52680180945236,0.043055684148928,0.09103626364625,9.05613489657112,0.047261236567741,0.095749605354418,0.00048669397656,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01399235660486,0,0.002405003908564,0,0.002802339233169,0.000655172413333,0.036895122001962,0.054949771065963,0.023677285122644,0.040899525279081,0,0.00057329198606,0,0.006970302965007,0,0.012311653990357,0.034863880272847,0.106024958716166,0.299827416121138,0.102061127679704,0.169826891189465,0.0004466493504,0.019495714144925,0,0,0,0,0,0,0,0,0,0,0,0.010617211329959,0.003362949155125,0.050614850116754,0.053226050944576,0.018898701042614,0.030547822208268,0.0013399480512,0.013874869526354,0,0,0,0,0,0,0,0,0.009549155692279,0.097496421731059,0.221345551258544,0.062938062749746,0.074384954114276,0.0006699740256,0.007418305664667,0.032750753230985,0.067993766054375,0.040232116615162,0.093687790043666,0,0.010414789905267,0.60694177828542,0.199346180763752,0.312856694776658,0.003349870128,0.041881013794653,0.782072771912082,0.676463796936688,0.001116623376,0.093020814767285,0.246825990530601,0.0015632727264,0.037911185669072,0.0020099220768,0.044525359331486,0.0004466493504,0,0.003842998339815,0.077393102888344,0,0.016283070507159,0,0.074573913529277,0.015823173349544,0.282535404263174,2.87671061875594,0.376033583404613,0.43033764560558,0,0.015175559577547
0,0,0,0,0,0,0,0,0,0,0,0,0,0.001170995716621,0.001270238095,0.175302179217486,0.052945243483188,0.002932287956496,0,0.003379096409183,0.000624944885556,0.010405006065475,0.009632078981176,0,0.016247262835019,0,0.03828723531002,0.042877014425932,0,0,0.001170995716621,0.000624944885556,0.002920438084972,0.003881303636088,0,0.002341991433243,0.01270238095,0.00254047619,0.001270238095,0,0,0,0.003810714285,0.00254047619,0,0,0.267276555936582,0.01270238095,0,0.029584261583129,0.013748787482222,0.095323183260795,0.057457315838926,0,0.120483276805312,0.025809174250942,0,0.113881669102008,0.043832878938273,0.119877301494256,0.208954047981272,0,0.002341991433243,0,0.001662049861496,0,0.003810714285,0.005864575912992,0,0,0,0,0,0,0,0,0.011805191801111,0.012272348577687,0.015675342355169,0,0.003434093095374,0.00540099175659,0.003420006614444,0,0.001249889771111,0.013031456932723,0,0.004935298383435,0,0.002341991433243,0,0,0.013359220570711,0,0,1.28269788319111,2.47511935147095,0,0,0.034086791577733,0,0.010773409428767,0.008847909247992,0,0.004526194757506
0,0,0,0,0.04413907784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091169290731262,0,0.005243764173469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19473407796877,0.065704008074409,0.053687929420118,0.029126624692042,0.079567153201944,0,0,0,0,0,0,0,0,0,0.00513669947414,0,0.000420433827855,0,0,0,0,0.000420433827855,0,0,0,0,0.000839889893491,0,0,0,0,0,0,0,0,0.00339531368,0,0,0,0,15.9985166355623,0,0.005932252041977,0,0,0,0,0,0
0,0,0.0013844893025,0.0069224465125,0,0,0.002768978605,0.013844893025,0,0,0.0013844893025,0,0,0,0,0.013600641268991,0.001168534160998,0.005521182725242,0.000705286941828,0.102615674220811,0,0,0.008326836380594,0,0,0,0,0,0,0.00628070175,0.0815202165,0,0,0.0114931355,0,0,0.0069224465125,0,0,0.002768978605,0.013844893025,0,0,0.0013844893025,0,0,0.004674136643991,0.016336126470663,0.013844893025,0.259669535171344,0,0,0.014837695951276,0,0,0,0,0.017528012414966,0,0,0,0,0,0.00412281078977,0.114757014201098,0,0,0.039302942500919,0,0,0.139905313689592,0,0,0.023388759068198,0,0,0,0.053435846597222,0.384563932882816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005564390035156,0.00496148003125,0,0.062005947172024,0,0.010878910417322,0.022316370796828,3.08853963445786,0,0,0.141665339659616,0,0
0,0,0,0,0,0,0,0,0,0.001329834487515,0.034575696675387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334111055207,0.01197884886488,0.002032871972318,0.00213559380788,0.240477139510758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341333906036,0,0,0,0,0.021017275983558,0,0,0.002101834132325,0,0,0.00140849198892,0.155400846297343,0,0,0,0.000213504762,0.000334111055207,0.176050724802514,0,0,0.002032871972318,0.011322328659527,0.252628795995906,0,0,0,0.038708436188457,0,0,0.184290234428618,0,0,0,0,0,0.001329834487515,0,0.014299781033591,0,0,0,0.002443168038361,0.00292614711719,0,0,0.010010375305785,15.3662135082107,0,0
0.001312805823129,0,0,0,0,0,0.005251223292517,0.001312805823129,0,0,0.01837928152381,0,0,0.009208284135342,0,0,0,0.002681119950719,0.06293389711487,0.019368678040004,0,0.001204957965679,0.331572466136349,0.001006648941701,0,0,0,0,0.001573880592586,0.013299177060672,0.010743722227631,0,9.91545119885726E-05,0.169996814418107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564533826223,0.001129067652445,0.002258135304891,0,0,0.012984278003122,0,0,0.02666858069824,0.018604371031112,0,0.000198309023977,0.329395950351345,0,0,0.083285143477205,0.008817314615303,0.004029015484636,1.55668346804744,0.000335549647234,0,0,0.006811224133485,1.07344279806496,0.001342198588935,0,0,0.062714861264879,0,0,0.064037952588677,0.000335549647234,0,0.010402039064248,0,0,0,0.012055086025401,0.004464824559267,0,0,0,0.02479899577199,0.219905621510084,0.062579353165414,0,0.000573199035426,17.7182652364732,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02471367791628,0,0,0.044160757630495,0.034437217773388,0.049427355832559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02471367791628,0.031465923336691,0.076436337514206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034437217773388,0.049427355832559,0,0,0.062931846673383,0,0,0,0,0,0,0,0.026942148743802,0,0,0,0.022485207088757,0,0,0.026942148743802,0.01647578527752,0.121406751691721,0,0
0.030739117792278,0.425986528584191,0.044065595626255,0.002113291201389,0,0.187492662671252,0.159601360029324,0.808524915810904,0.012232196598354,0.110325833718315,0.284389329095157,0.007917187946106,0,0.010319215062897,0.000888300741877,0,0,0.002818885778286,0.00501262856155,0.025138707603821,0.001477105156602,0.001019536878493,0.004542066426402,0.000356059058875,0,0.008249994510162,0.001248762982639,0,0.04454117542062,0.100465236744595,0.527288155427746,0.011855828153717,0.035870067039581,0.088441340263191,0.006515930199104,0,0,0,0.003116570708116,0.005999719823409,0.011231845095779,3.68925598487713E-05,0.000322855950563,0.003243041885367,0.00019835659456,0,0,0,9.60586909722222E-05,0.002209349892361,0,0.000384234763889,0.000768469527778,0,0,0,0,0,0,0,0,0,0,0.030102097177635,0.113437515178706,0.001899128657713,0.009360226713212,0.023197720331552,0.001768558153917,0,0.214495830319344,0.00441905493929,0.007097869632684,0.039234348901779,0.001142458274781,0,0.034960477828714,0.08179922603642,0.184303162786529,0.021819366153531,0,0.001108961212555,0.004174686015954,0.000218937754748,0,0.011859525141776,0.000712186090285,0,0.003056768313528,0,0,7.37531605024972,0.000584812943226,0.231702446579143,0.001167135626851,0,0,0.012210690153482,0.067195677140529,1.37256005530718,0.001184382282157,0.013302418344269,0.041985899897568,0.000547728288562,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.002974397945372,0,0,0.000478381700741,0.000675132690051,0.002496016244631,0.055996452208582,0.007684799723204,0.002462355946671,0.000478381700741,0,0,0,0,0.002011061743514,0.029095362832579,0.014548524830369,0.545780209809083,0.089378807425515,0.016429758765823,0.014437106881504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000478381700741,0.024903727444562,0.000670353914505,0.000478381700741,0.001148735615245,0,0,0.021190107924754,0.472475485788717,0.025514847143274,0.020682072214497,0.00642811447413,0,0,0.407953227230699,0.043651364303089,0.041188527274599,0.020264959342183,0,0,0.866020993580452,0.332913106153211,0.379159656620803,0,0,0.086699043525382,0.030607307312425,0,0,0.022358754535767,0,0,0,0,0,0,0,0.03688660807779,0,0,0.000478381700741,0.062383603989267,0.017717754304565,12.2736123736652,0.199604982643576,0.056054132749898,0.014265383849455,0,0
