,1021522Tm169Di EGFR,10311239Ru96Di Rutheni,10311240Ru98Di Rutheni,10311241Ru99Di Rutheni,10311242Ru100Di Rutheni,10311243Ru101Di Rutheni,10311244Ru102Di Rutheni,10311245Ru104Di Rutheni,1031747Er167Di ECadhe,10331253Ir191Di Iridium,10331254Ir193Di Iridium,112475Gd156Di Estroge,117792Dy163Di GATA3,1261726In113Di Histone,1441101Er168Di Ki67,174864Nd148Di SMA,1921755Sm149Di Vimenti,198883Yb176Di cleaved,201487Eu151Di cerbB,207736Tb159Di p53,234832Lu175Di panCyto,3111576Nd143Di Cytoker,312878Gd158Di Progest,322787Nd150Di cMyc,3281668Nd142Di Fibrone,346876Sm147Di Keratin,3521227Gd155Di Slug,361077Dy164Di CD20,378871Yb172Di vWF,473968La139Di Histone,651779Pr141Di Cytoker,6967Gd160Di CD44,71790Dy162Di CD45,77877Nd146Di CD68,8001752Sm152Di CD3epsi,92964Er166Di Carboni,971099Nd144Di Cytoker,98922Yb174Di Cytoker,ArAr80 80ArArArAr80Di,Area,Eccentricity,EulerNumber,Extent,Hg202 202HgHg202Di,I127 127II127Di,In115 115InIn115Di,MajorAxisLength,MinorAxisLength,Nd145Di Twist,Number_Neighbors,Orientation,Pb204 204PbPb204Di,Pb206 206PbPb206Di,Pb207 207PbPb207Di,Pb208 208PbPb208Di,Percent_Touching,Perimeter,Solidity,Xe126 126XeXe126Di,Xe131 131XeXe131Di,Xe134 134XeXe134Di,phospho Histone,phospho S6,phospho mTOR
BaselTMA_SP43_1_X1Y8,1374.2387207248933,6902.513619408011,2013.2114580757916,12684.223574340343,12097.29519188404,16422.823195576668,31727.679827690125,23265.62838411331,6851.90168763402,16796.52901303768,31769.358343720436,1541.1137811577296,4893.973329074885,33623.88559960805,502.8347878759993,12966.501300219272,3459.56278408454,3016.2854097740205,8722.648018980623,260.95970408957453,44479.74881668272,6875.811500177599,3563.7327962116265,1392.5509217565664,30984.917443586026,390.5963564307267,581.8421428422388,229.127951937547,254.0532187653362,3671.6657144129276,410.2477530499314,50599.685591068184,211.72994094114728,607.5208627892011,147.14581066129423,3989.04646178052,5845.641839127347,304.46107641977557,1925000.3443603516,308787.0,2044.8710203766823,2906.0,1817.775806248188,14282.947961091995,0.0,123.41823879587793,41966.70944881439,27954.898915052414,826.5306343928438,14028.0,-1868.3487252630284,3271.5015936493874,248.81780217867356,0.0,0.0,2488.2740846340444,114068.55703663826,2551.2852159440517,0.0,0.0,123464.10403823853,1412.6091197526953,2213.083387050365,4637.308363614471
BaselTMA_SP41_2_X2Y8,927.0718995506222,3668.65320789814,1041.6480533443391,6609.19954264164,6254.742113575339,8436.259725093842,16437.637699127197,11897.101613402367,9932.633826512016,6715.220642581582,12693.547463737428,344.8650915132792,1285.142584791487,27706.44455300084,401.46714021613224,3811.0671380869812,8757.518842892425,2346.6357326211137,5321.432255016922,193.23202121601054,19828.587209877915,1603.6637265772576,2494.0465241788256,395.74364324949335,12606.516875656018,261.2359437460676,468.7557542232091,197.77641117953334,205.05010106401716,1826.8313659504056,277.5046546372303,36977.9224361862,466.3736836269697,1681.0896246457153,175.16975237973284,1502.029468312104,3254.817598986653,136.89126136190353,1375306.5298156738,273574.0,1835.952261403203,2686.0,1704.9862596541643,12913.877399682999,0.0,427.5287158883691,36841.86788439751,25573.50835931301,1334.2627894922605,9680.0,2341.0844388948753,2872.2183970808983,275.25143348239357,0.0,0.0,2002.2413484212736,99932.72696852684,2387.409954428673,0.0,0.0,100731.43068695068,1517.3656603234185,5756.013201987933,3504.656903330372
BaselTMA_SP43_3_X13Y6,899.4852597374396,2897.513245269656,845.9409764185548,5311.86265963316,5074.016012370586,6849.833591163158,13250.965040922165,9679.685968637466,1554.4372802333305,5198.9624450095,9767.348917979747,276.35659536289666,706.888000939684,29582.620723200813,95.31332139045553,3458.921412612462,10893.238525470022,2110.8563089358017,1949.9191339665026,161.18232480718603,27631.14643394507,1599.3882877922883,2384.793419187087,523.7029202182587,17499.957240441665,466.257909370891,165.88163155602797,203.94700574013217,158.58066460138141,1482.1378111727536,400.59427887391473,26212.540080631312,228.1193663737069,1367.0633217559673,102.63192768428458,1903.4645411894342,2118.081109250159,655.8448209788297,1054635.5080566406,158931.0,1060.9524073973298,1566.0,993.9194085896015,7888.047247409821,0.0,77.44103776684832,21517.8888964653,14887.972689509392,512.9672550636201,4384.0,4835.082763586193,1806.4347061514854,120.98812772752758,0.0,0.0,968.757369044602,58389.35598945618,1386.488952845335,0.0,0.0,69132.67488479614,888.2617124904331,1002.617725896983,2772.230494767922
BaselTMA_SP43_4_X15Y3,889.4700719992856,5646.392908453941,1658.2945419996977,10323.07416009903,9889.36953753233,13435.693723201752,25953.640807032585,19016.638058900833,16646.90232534196,17002.216406792402,32161.53725683689,375.2492372530913,2460.1129594324566,9454.107026695956,655.6486192565172,18703.73782001897,12078.965946101987,898.5800206922835,1531.7471789488256,169.82519346766404,43245.918213205434,634.4431513384451,5308.929521751408,653.7366227632704,79167.66211469349,458.7801312525925,719.9127636396661,161.36263076383236,287.0248566485007,2367.8511652350426,433.6888014000725,80969.99547083984,276.3231701554695,1171.0794925479095,196.19252157156177,2047.0804133338534,17890.391862525255,2474.113317300174,2040250.3716430664,285638.0,2144.8222401067615,3077.0,1924.0155559331179,16086.456706285477,0.0,86.1850981221691,41585.70186662674,27864.8580442667,874.6308801297328,9522.0,-25311.898769889027,3671.8383562862873,189.570018323138,0.0,0.0,2048.001997326229,112811.708974123,2697.5780074596405,0.0,0.0,137427.39347457886,457.33275603341247,1892.0910543584964,5743.291712683714
BaselTMA_SP42_5_X8Y7,503.0535487996164,3261.5013386309147,978.3387103900313,6154.8945851922035,5798.858179569244,7836.590980648994,15248.445986866951,11066.77935063839,5481.389786799909,10727.490320622921,20395.531587168574,182.926702126874,729.8436917278813,10778.78635607953,112.5472386440766,5544.463050070851,5561.242659826521,814.9889943984172,1256.4110769023512,100.07661237426215,3075.0663312024394,333.5810983520553,843.1919461395262,521.4853297938462,13858.675526065243,231.05356278137825,214.91624684467294,167.6441993061954,256.386501597269,972.1220439691097,187.24376116210868,44381.75828385687,766.8737472520368,641.7737321107595,282.2581163552247,737.6944806015201,456.6367259030457,34.85834223400507,1705628.700378418,206768.0,1573.3558628857136,2373.0,1549.9272747635841,14253.044169187546,0.0,138.95869777921146,29751.960791110992,21205.946258544922,267.4018866261143,7098.0,5751.206618713214,3284.0087889432907,194.97686996683478,0.0,0.0,1582.2778751616809,80073.741948843,2139.718742609024,0.0,0.0,126500.56309890747,287.305683980818,920.6399862409596,864.4077713424721
BaselTMA_SP42_6_X11Y1,635.1648825891962,3101.272133409977,920.4016902893782,5796.136528134346,5470.710955321789,7370.7465891838065,14298.420578241348,10415.411727905273,1992.6831132226398,9671.135137706995,18372.861110836267,301.2744974643485,2315.524810361538,14647.62899383056,637.4972012383697,8160.706282772078,7484.7399753532645,882.8820910550593,3763.005166568786,111.86698814699709,35681.24893598907,2104.5723889352703,4462.140738718741,1015.7144785363444,10480.74024040783,255.48197900827995,395.9090919418137,239.85028143001082,160.8993748116799,1079.8842900320888,220.72455622721753,29461.10509557372,316.1423217984076,508.3071208564729,133.22179204812926,1077.2084343763827,5485.813807963468,1229.9429095771306,1320280.6639404297,215152.0,1312.846656382084,1907.0,1185.653716146946,9388.250585794449,0.0,75.2975855902785,28397.898074626923,19039.43540453911,526.8695210078006,7288.0,-1737.1116938441996,2166.8053855299954,123.47904328582848,0.0,0.0,1383.0693901770771,77854.43603897095,1664.8840876817703,0.0,0.0,117037.1276435852,324.5851588821031,507.2475135510483,1532.2118808801708
BaselTMA_SP41_7_X5Y1,970.0674748108105,4565.780786365271,1280.0443081855774,8168.527533590794,7722.906294465065,10450.707628071308,20301.4666813612,14721.157967090607,12949.506406579843,9094.604001969099,17185.23815871775,505.9084514069741,1111.4939894453148,11078.252717230082,237.16740691449797,5419.793145197982,4644.710888088563,1682.7449425276618,3636.837936180554,249.05260419071095,13550.452780468931,1371.6411908118232,7319.426187686088,1511.1315608991188,14090.684369235942,280.52960337659385,679.8604353605451,173.04897732185992,154.83755499793597,1000.1236005648971,308.0449606280757,33783.66232927781,313.40967472685014,649.678332220025,193.55643701808378,1417.1822010524554,2271.2651432260386,576.9625374159663,1831703.0458374023,353725.0,2634.6896205693483,3840.0,2442.465475142002,16169.909821510315,0.0,217.90901534673512,49984.107986688614,34535.026942014694,516.8743524581638,14358.0,34491.15765312314,3610.87657186389,274.0678510952274,0.0,0.0,2930.7585519158765,134611.69994735718,3409.0792383551598,0.0,0.0,140597.43470954895,424.5340871361079,658.6298006696209,1813.2696205120667
BaselTMA_SP41_8_X5Y9,805.748112171174,2446.271786302328,701.1548933275044,4380.552063852549,4153.882391989231,5601.725073218346,10918.946074604988,7913.699195742607,1567.5209012958628,3653.964602727443,6918.469696767628,154.58907890211518,500.5246131587046,10419.381989965108,154.6083094114909,7993.1443985275755,18421.209159037302,1804.7446284900088,1306.6147343747841,129.69025165988714,7299.609225170926,525.2982311159723,1018.9541533984468,534.7610991815543,19427.627766661957,197.85619138797276,308.0706459386967,138.8229323336248,167.72628632046113,1003.0972701199353,213.46001456218156,40070.59870702018,339.0453354142013,3393.168611463341,143.87056641112764,906.4044504774123,827.2888868377239,160.345000003164,1013954.7281188965,192247.0,1406.4756259992719,1998.0,1220.902562336647,9134.303388178349,0.0,121.31145244793495,28361.653747081757,18283.50972509384,534.0845157725238,5676.0,17307.949849994853,2039.5430244505405,158.5022618444633,0.0,0.0,1271.4375024335275,75847.08296489716,1730.5488041508943,0.0,0.0,80096.05003738403,591.318779481463,1809.45857615326,1567.3222293689914
BaselTMA_SP41_9_X6Y9,920.9192824494321,2684.0365585535765,756.6461541876197,4820.366138339043,4530.038412600756,6105.8312127143145,11947.8805924654,8628.074036687613,8168.881112665195,5163.429561562836,9765.048270575702,531.449341734255,1641.2539015673728,29278.502215778717,579.7187111335462,2399.9896673209537,3561.776710194523,2424.9491498590146,4856.569603910814,171.34248954775637,39129.02308473943,2160.2724023679116,1819.767094950905,3301.404517995382,9843.739615433,241.4604945495627,952.4702983940819,164.61893669523968,182.7947336582895,1898.84564223513,236.58119658329997,16473.991464665603,145.38916481726204,343.40589300973505,101.94277831639046,14500.177517005242,921.35006068787,216.31238663896977,1237826.167602539,306665.0,1826.4369244873524,2690.0,1741.1798844337463,11508.75119805336,0.0,142.83964767809718,38998.0097091198,27180.875830054283,595.2555247398312,12324.0,10584.937874971889,2542.157925903797,169.73749083373698,0.0,0.0,2218.1127360519645,106134.08404541016,2408.134983599186,0.0,0.0,98115.99927902222,668.5743458918682,1602.5420282756277,2398.140809969993
BaselTMA_SP42_10_X1Y5,819.1306199706199,1255.845734493807,371.1147581827827,2264.126401718706,2143.517080310732,2868.520050816238,5554.82916675508,4026.2794504351914,15799.995337838192,8954.131188035011,16973.99740023911,940.7489736148889,2993.3183318948727,15432.939314020787,506.1625890930533,2690.3792534767767,3995.951101692796,1696.0521608547344,9146.398268769137,187.06375600091627,19588.85794924986,2859.4202025434233,1836.282023060818,389.8244755106253,15616.764322805042,250.92950391107232,687.8570763672366,278.2913895475353,211.15914721016142,1279.208518140018,245.99978557513376,30059.962457623096,347.4849401452665,810.150995746571,129.85186203267477,2117.3744966375007,2056.27237362251,41.05299367511444,1619254.2089233398,270928.0,1638.7078937143087,2422.0,1535.4209485650063,12111.965901851654,0.0,166.39454326816468,34673.49590730667,24415.334349751472,827.6571517783116,9144.0,1959.759397670628,2783.5065786987543,256.6120712999254,0.0,0.0,1829.4051000951174,95837.33704853058,2143.444355428219,0.0,0.0,133656.72048950195,985.3203146772616,2676.750283969515,3041.1409692022844
BaselTMA_SP41_11_X13Y7,1347.2430653584038,7501.088310241699,2101.3879986070096,13485.936617076397,12747.224399149418,17191.11188828945,33481.5303709507,24284.8705753088,15856.31589149127,13251.35805222392,25087.594749450684,1147.5657262447353,2912.2971854663224,35919.1564575341,895.857483900994,2146.977993775643,6944.74821657823,3226.2697629505747,6469.899259529217,283.77884035900456,35910.52719733888,1944.342002040002,2650.8026580534856,837.6144972622515,9284.306662498617,348.8955394929228,848.1035398885307,768.4374324141494,478.20544596720543,2008.521215185523,399.36436402951796,151963.03200223425,2026.7610645617667,1946.6936239295821,489.7086884284824,2699.929261729684,1582.3127713446274,88.84047775706591,2249987.4838256836,421457.0,3144.767483212054,4562.0,2913.6719771921635,22097.14470100403,0.0,284.28623477216604,60524.99216556549,41626.42116570473,768.3710505192164,23814.0,10031.278074720874,4902.420337706804,356.0370663749054,0.0,0.0,4114.1257030659135,163398.46093082428,4042.3845316171646,0.0,0.0,178340.00493240356,753.3229660930144,1610.6250758030471,2622.8673145744892
BaselTMA_SP42_12_X12Y8,362.81723451175566,1531.9863848984241,455.65437491983175,2894.7994443178177,2751.159501492977,3692.657470345497,7193.733793139458,5219.150739371777,1409.3283940374997,5400.311698377132,10216.878973782063,167.56931445836614,268.379273211566,3669.7240565079846,291.64174457738085,1411.0754872261537,5761.230158002341,471.4390509509637,1078.740810738621,73.54046111877709,2089.706862226024,171.29976021331652,377.7307314311644,391.166511628383,9232.442877035634,156.41901072278444,240.88932638766224,311.42480917831506,100.8087247096735,392.02787681668997,99.45397166503717,28177.128500024395,871.577380154772,532.871964214191,261.07452953119633,507.5790470104646,287.58381933209563,218.1091977738816,659480.8841552734,94866.0,613.813572704792,921.0,604.7340674698353,5795.874886989594,0.0,44.13756271471773,12575.047190666199,8852.63067817688,213.35372404125866,2424.0,3401.965756125748,1340.6061051487923,73.32798875216399,0.0,0.0,566.159899346936,34098.227013111115,828.6091796755791,0.0,0.0,47937.47919464111,199.65352239142706,819.9812835009872,633.6553520623567
BaselTMA_SP42_13_X5Y8,551.3083794979633,4386.433712095022,1296.2497020922601,8171.913419961929,7753.23777371645,10419.01427641511,20231.270330667496,14645.501270771027,18176.42247914692,12471.176025927067,23785.320005387068,276.40667989167974,1537.0878113539982,7555.184297910859,512.703423043268,5416.997985036155,2230.4906189127846,623.5050829109566,1867.3206553231278,106.26002410470878,18219.901702840325,4035.520522761583,555.6120604290414,360.13898785138775,26137.893951568236,286.2251819502241,259.5042691481908,100.13027853978072,177.07744139943497,1576.3838200569153,298.0349882278379,26710.6188905295,179.55983712546873,529.4243269765616,128.2761457690619,675.8537999795469,4041.162053850101,1300.2240727494004,2029396.2752685547,287041.0,1956.2215370833874,2894.0,1857.8700591027737,16043.735793590546,0.0,222.4455840331043,39666.45029044151,27547.499976873398,360.1279404562155,10986.0,9026.380450057797,3704.843542829156,228.49300989555167,0.0,0.0,2161.7337918380404,108097.19397306442,2570.4580745100975,0.0,0.0,164605.78722763062,241.08734782350442,1744.5173386941974,1190.2075693588804
BaselTMA_SP41_14_X1Y8,1347.271300218904,3757.231877744198,1070.0517174564302,6718.920016229153,6363.903947234154,8598.999196827412,16686.283082962036,12101.917288064957,6452.18447927532,8065.080884318799,15290.319250583649,339.83446026537405,1252.3744354337118,19198.331804270823,624.8422054364954,9857.240476572511,21262.997520320096,3230.8291549312667,6648.22767779899,306.73631772170546,19961.54912335321,1586.4748603873538,2135.3854253255995,2224.092192554645,14302.12263562507,454.86138474956175,637.2470731808709,437.8820299527636,501.4986281513495,1690.7293470352888,440.25675653908377,180940.63499164587,1421.1434665140637,4214.544994134435,334.1150988536052,2575.7710179158926,3726.0079014663465,657.8749542632986,1726208.8676452637,366873.0,2348.517149582505,3407.0,2104.30098426342,14098.848588466644,0.0,314.5782146445206,48501.82073664665,33161.43307363987,906.3355928253571,14136.0,24215.78039945662,3150.9131497591734,223.68602274637624,0.0,0.0,2694.8136158223233,134001.00202274323,2965.4787987172604,0.0,0.0,131494.08834838867,963.0328151246532,5201.164414910542,2982.2189700409604
BaselTMA_SP43_15_X1Y9,2451.0980454141636,9533.770125925541,2798.6151092350483,17483.825038909912,16715.33713042736,22657.989938497543,43803.77692246437,32098.894070148468,5931.688437578411,24337.25320096314,46040.62881958485,346.61779384430486,898.203061670844,53106.28794409752,2205.944422359617,13182.40798010841,47770.00700064951,5700.346507182285,5813.211977056857,404.48068594609356,4736.626435766784,880.7192540588625,3200.509328614687,1629.433813638377,15409.730142933677,685.7936361684897,2500.360615841474,716.667914618937,987.0722459381427,3465.0792298838496,593.1876611642532,250250.17148048946,3195.662807364301,6643.510715842227,808.1311955941517,4129.012518552301,542.7369183043509,140.22396474967573,2999510.427307129,444209.0,3039.476839184761,4390.0,2798.1806384772062,22991.252972602844,0.0,183.03946552389252,61582.89683055878,41955.2936167717,1214.0426540265069,24598.0,-7932.996167287229,5271.691807061435,416.9849265292289,0.0,0.0,4094.9922249776496,167785.9609835148,3877.107626378536,0.0,0.0,196584.7264060974,1251.990604675091,4388.112385955028,4956.236059189692
BaselTMA_SP42_16_X3Y4,127.20056231969957,931.0299410372972,270.9021098315716,1700.6663184762,1622.9788515865803,2180.9319689273834,4200.607792258263,3078.473010659218,1352.7878465849751,2551.3018918931484,4832.115227162838,62.66385910180381,759.4541024898945,2876.4165189903297,24.150508944039185,1541.2031556585723,1683.8088567140305,276.5732308208777,713.5877241506511,26.65085936607248,2518.0577475918753,275.25518154736835,304.53130725272746,133.83351763065093,2055.2831264901397,44.87814473809586,68.10278469280027,23.624889896330085,27.84322070993071,376.66666974872356,43.67704375567355,5511.939774145926,45.63584961258556,115.62529747519451,25.045095900907818,245.50639848931314,379.93576311985055,67.98762146145,347852.30310058594,51147.0,359.7567599862814,522.0,338.0627103447914,2021.6580936908724,0.0,135.21390521740278,7105.129968166351,4872.196507930756,77.47019883519508,1562.0,2362.9092978462577,467.21189217269426,114.1339434683323,0.0,0.0,363.1823506303862,19225.299995422363,465.34528255462646,0.0,0.0,26460.07144165039,408.80748647092577,975.4705077580753,509.6609013863606
BaselTMA_SP43_17_X11Y4,2161.5331319697516,7622.899344563484,2253.559908464551,13997.728276968002,13383.353455662727,18179.343505620956,35195.73102235794,25752.69286441803,35870.26295700918,23671.836338460445,44755.20171749592,2361.680322633351,6577.361295849102,26228.715100190857,1857.6777978718885,17138.585572880365,16291.708037401037,4036.836689611887,12031.730957849912,461.52120884083183,19672.732576142527,2090.716644902201,2840.240018854701,4059.098774220068,24113.856936040185,932.0328319560607,2080.861913001094,489.4660167380224,438.00712611401815,1761.7571083270013,466.0967682998423,46762.33292424004,770.743902380543,1526.8477966841042,400.17172664538333,3687.4039637015658,1693.8390706195548,83.57068716700077,2723249.617492676,436171.0,2860.263591386378,4054.0,2556.144163876772,21409.475456237793,0.0,137.52460269292072,59719.583483457565,39234.72051548958,1753.175088540302,21676.0,-1776.172475732862,4883.139767080545,252.74183671176408,0.0,0.0,3652.448471593156,161257.05603265762,3568.4724656939507,0.0,0.0,179418.1756515503,1048.8158147864315,6460.939102686612,4865.415266080389
BaselTMA_SP41_18_X13Y5,337.07271281505183,3184.2829690277576,896.7744533121586,5732.038636177778,5441.453958213329,7301.331364169717,14194.58736974001,10285.023243963718,2263.7102934646186,6433.797943282872,12165.120920330286,232.32239359473363,396.8377556958724,6829.854471661104,107.89039078958534,2574.8929115763126,2880.1373124272313,1256.324748550031,1311.3896650669928,74.0879860366391,6446.508474920544,299.9263431701015,739.3130320157445,182.5526794419774,4267.331556130815,111.53990024126387,114.20795202496741,88.23769153352944,96.08489718774683,383.1179520227015,112.65866163342272,12633.272965945203,160.74496816666397,235.3123920002692,49.436324921751385,532.8085226175928,998.3360300509,53.09397379529222,869631.6629943848,177887.0,1222.4885907433927,1848.0,1187.8476418852806,8908.534324884415,0.0,120.7497392949306,24364.495177030563,17460.441610455513,171.51101549807154,5128.0,9314.309821777046,1977.056794255972,117.76789224101235,0.0,0.0,1218.0254706128542,66563.03295183182,1646.8577682971954,0.0,0.0,71575.58790969849,135.3943424660903,185.63113725511118,713.3679711361834
BaselTMA_SP43_19_X15Y2,1267.8096547017751,5906.727554798126,1722.30247265473,10764.765885651112,10321.615729093552,13992.23674249649,27101.649986982346,19870.83219218254,10139.728725307768,18922.0557564497,35804.121229588985,634.2003186400883,2275.6512872101607,24558.12577896399,238.24584280561538,14131.83222975692,8326.04075668935,2913.652140662654,5264.9229168095035,227.30059505672327,59079.34301784393,1472.714670944312,6497.769552354504,1150.2317214120847,14699.639162256333,559.9618178333379,665.9690024176922,218.99598094031603,317.46047624426416,1644.067149925977,637.5842080145027,58741.41921072082,659.8962537202871,1390.235258527382,125.0070528038527,2360.67107643471,7168.40020952902,264.71686608439023,2279745.1451416016,315067.0,2414.9278888106346,3526.0,2215.2153083086014,18241.019869327545,0.0,111.22574888637335,46409.19404578209,31538.658715248108,1433.6963904453198,13814.0,-12363.007799673826,4156.058648496866,218.64888585079484,0.0,0.0,2695.051568549579,124992.67498016357,3107.379532277584,0.0,0.0,159907.53174972534,1688.5300604888607,3334.0607056440103,5406.001291375204
BaselTMA_SP43_21_X3Y5,758.5934719825495,2993.2283451259136,878.025040730834,5449.259379208088,5228.717805445194,7086.437043309212,13732.136450648308,10039.497275471687,3056.2903205268335,6105.968602202833,11506.690231859684,143.45138017342265,322.58257453510623,20912.61908295792,490.50838466529746,4866.380477725061,10873.994929520533,1636.2787637534082,1836.9811696244162,135.53761807189048,23839.206654300437,515.0347413765365,973.6057509956399,685.0502939960994,15243.786759511859,247.8431361431301,140.2842878998172,191.39409692547085,180.06467159223664,1091.9584572315216,187.69744208546308,75730.87317036041,510.68919356972316,1561.1945490835903,153.91738267052912,1001.8997428744473,723.2856326347315,350.75076547550054,1167053.6740112305,193118.0,1215.6503690592945,1744.0,1090.658846348524,8947.808947324753,0.0,58.167500900219174,25361.811069965363,17165.059161305428,608.8119510659183,7406.0,2032.9827421531086,2038.2106149196625,93.34278166666672,0.0,0.0,1391.064472023178,69367.5650935173,1533.5376554131508,0.0,0.0,76226.25659179688,318.860522565491,1129.7700678947688,1929.6829027041852
BaselTMA_SP43_22_X12Y6,2771.0791506432015,5355.263024613261,1552.3692388013005,9780.969071745872,9332.833728075027,12693.281268909574,24541.901758551598,17994.02047753334,14990.294856509,13484.540639016777,25438.833412706852,1441.6441522866571,3171.1994422808816,38856.86747412402,265.9610379066299,14109.158912853783,12745.155809277612,6017.09248829438,15267.609075806004,417.1660710074345,106679.40617483888,4991.31539791173,5796.244010664947,4038.8440236900406,22063.541039139724,1043.164655490769,2462.651590499048,475.95185769839674,526.2662010523857,2942.3848791494966,580.6913095285477,97997.78093788623,404.5939738738556,1704.5920451623983,499.6611476771534,6797.61077497571,13698.59882352553,72.12575929903076,2032536.9871826172,404877.0,2190.000965297222,3123.0,1912.2926332652569,11950.621100068092,0.0,98.16516179064863,49789.91623711586,33368.60655725002,1391.7537179879714,15072.0,4858.130588047208,2748.6873457729816,210.67926894221577,0.0,0.0,2653.920735688432,139903.89200234413,2710.0762674212456,0.0,0.0,145515.20636367798,1606.0527170847142,4295.6659304829745,10671.204221310318
BaselTMA_SP43_23_X15Y7,3823.4514335693566,4206.943133562803,1237.4965636730194,7733.020753622055,7420.28665137291,10053.441705107689,19426.38937997818,14260.755363702774,9041.049374458065,8459.639602538198,15994.625136375427,592.35931895154,905.0132663067492,45301.683361313764,886.3008090637753,13052.711026048577,11622.834766244328,4602.057834164045,3633.0390702805034,470.0891758015981,26727.07980058554,1327.3894504052662,2447.216634930964,1922.2229972914668,28490.693636611377,424.0982556385766,816.4848396419344,500.4285278476128,344.99994183762357,1980.3989992551506,341.6758690964509,212049.84519595464,1228.0802484221326,4590.892530978631,273.0649383564452,3823.404196334891,4440.355091868021,406.58398560357426,1636540.5256347656,325531.0,1848.9737887829542,2609.0,1617.5518786013126,10846.465534687042,0.0,114.7572843564672,41252.37660193443,27199.803515911102,948.670833586399,13716.0,-8696.093290396968,2496.2084945440292,310.8733651814988,0.0,0.0,2321.4814045271014,113609.47711086273,2271.9219437241554,0.0,0.0,111078.34937286377,879.843015194094,3593.963367201272,3955.3999238526208
