,gene,variable,value,color
2,CDH1,CK7._CK.,0.507411152600272,red
4,GATA3,CK7._CK.,0.398882294440239,red
7,ACTA2,CK7._CK.,-0.786693967316233,blue
8,VIM,CK7._CK.,-0.377643685697792,blue
15,FN1,CK7._CK.,-0.590439012579947,blue
27,KRT7,CK7._CK.,0.496074874956023,red
31,EGFR,Small_Elongated___CK7._CK.,-0.396576657554608,blue
37,ACTA2,Small_Elongated___CK7._CK.,-0.489756698849418,blue
38,VIM,Small_Elongated___CK7._CK.,-0.350180977529934,blue
39,CASP3,Small_Elongated___CK7._CK.,-0.497862296893076,blue
41,TP53,Small_Elongated___CK7._CK.,-0.574352921666049,blue
51,CD44,Small_Elongated___CK7._CK.,-0.476201018025352,blue
52,PTPRC,Small_Elongated___CK7._CK.,-0.452198309635099,blue
53,CD68,Small_Elongated___CK7._CK.,-0.365370564636925,blue
55,CA9,Small_Elongated___CK7._CK.,-0.494865496430742,blue
58,TWIST1,Small_Elongated___CK7._CK.,-0.42253048473835,blue
65,H3F3B,Large_Elongated___Proliferative,-0.36270619021142,blue
83,CD68,Large_Elongated___Proliferative,-0.374050568493067,blue
102,KRT19,SMA_hi_Vimentin___CK7._CK.,0.481793451831775,red
105,FN1,SMA_hi_Vimentin___CK7._CK.,0.355008805838181,red
119,RPS6,SMA_hi_Vimentin___CK7._CK.,-0.37690272990215,blue
121,EGFR,Small_Circular___CK7._CK.,-0.460367138683758,blue
125,H3F3B,Small_Circular___CK7._CK.,-0.354356771264868,blue
127,ACTA2,Small_Circular___CK7._CK.,-0.420933981967914,blue
128,VIM,Small_Circular___CK7._CK.,-0.379661498307578,blue
129,CASP3,Small_Circular___CK7._CK.,-0.560350353014941,blue
131,TP53,Small_Circular___CK7._CK.,-0.563380317792838,blue
133,PGR,Small_Circular___CK7._CK.,-0.376962597118855,blue
141,CD44,Small_Circular___CK7._CK.,-0.552381158560388,blue
142,PTPRC,Small_Circular___CK7._CK.,-0.461123609730203,blue
143,CD68,Small_Circular___CK7._CK.,-0.440782875921302,blue
145,CA9,Small_Circular___CK7._CK.,-0.541724011837971,blue
148,TWIST1,Small_Circular___CK7._CK.,-0.508332426554439,blue
155,H3F3B,Large_Elongated___CK7._CK.,-0.366836023122795,blue
164,MYC,Large_Elongated___CK7._CK.,0.388471536853913,red
173,CD68,Large_Elongated___CK7._CK.,-0.361879646765394,blue
176,KRT8,Large_Elongated___CK7._CK.,0.382419074434791,red
